DATE        ,TIME            ,Steam Pressure Leaving Plant,Steam Flow Leaving the Plant,USU.Outside_Air_Temp ,USU.Facilities_Steam_Pressure 
10/16/2024,7:00:00 AM,88.45,"23,397.28",52.46,69.75
10/16/2024,6:00:00 AM,90.40,"18,584.67",53.20,72.36
10/16/2024,5:00:00 AM,90.74,"17,030.57",54.41,72.54
10/16/2024,4:00:00 AM,90.78,"15,487.72",55.27,72.61
10/16/2024,3:00:00 AM,90.79,"15,050.83",56.00,72.90
10/16/2024,2:00:00 AM,90.82,"14,784.37",57.03,72.98
10/16/2024,1:00:00 AM,90.80,"15,244.92",58.56,73.10
10/16/2024,12:00:00 AM,90.81,"14,783.71",59.54,73.08
10/15/2024,11:00:00 PM,90.78,"16,018.78",61.34,72.98
10/15/2024,10:00:00 PM,90.78,"15,680.27",62.00,72.88
10/15/2024,9:00:00 PM,90.78,"15,803.33",61.78,72.41
10/15/2024,8:00:00 PM,90.81,"14,966.08",61.08,72.42
10/15/2024,7:00:00 PM,90.80,"15,294.28",63.55,71.67
10/15/2024,6:00:00 PM,90.81,"15,056.75",66.48,70.86
10/15/2024,5:00:00 PM,90.83,"15,067.26",67.00,71.52
10/15/2024,4:00:00 PM,90.80,"15,950.65",65.81,72.09
10/15/2024,3:00:00 PM,90.82,"15,454.40",65.39,72.66
10/15/2024,2:00:00 PM,90.80,"15,985.99",64.83,72.88
10/15/2024,1:00:00 PM,90.81,"15,760.65",64.83,73.04
10/15/2024,12:00:00 PM,90.81,"17,608.54",60.92,72.96
10/15/2024,11:00:00 AM,93.45,"18,721.47",55.41,74.75
10/15/2024,10:00:00 AM,94.56,"21,464.24",52.00,76.27
10/15/2024,9:00:00 AM,90.65,"23,243.69",52.00,72.53
10/15/2024,8:00:00 AM,91.01,"22,548.03",52.00,72.78
10/15/2024,7:00:00 AM,90.62,"23,255.74",51.78,72.11
10/15/2024,6:00:00 AM,88.94,"19,574.12",53.00,70.33
10/15/2024,5:00:00 AM,90.74,"16,154.83",53.78,72.26
10/15/2024,4:00:00 AM,90.79,"15,194.92",54.54,72.15
10/15/2024,3:00:00 AM,90.81,"14,879.61",55.33,72.15
10/15/2024,2:00:00 AM,90.81,"14,514.94",56.38,72.13
10/15/2024,1:00:00 AM,90.80,"15,107.47",57.63,72.43
10/15/2024,12:00:00 AM,90.82,"14,876.83",59.42,72.92
10/14/2024,11:00:00 PM,90.76,"16,725.21",60.93,72.69
10/14/2024,10:00:00 PM,90.75,"16,651.81",62.38,72.30
10/14/2024,9:00:00 PM,90.77,"15,879.97",63.85,72.03
10/14/2024,8:00:00 PM,90.79,"15,668.92",64.00,71.99
10/14/2024,7:00:00 PM,90.83,"14,770.94",66.12,70.71
10/14/2024,6:00:00 PM,90.83,"14,704.15",66.91,70.18
10/14/2024,5:00:00 PM,90.83,"14,602.56",68.00,70.54
10/14/2024,4:00:00 PM,90.85,"14,605.58",67.83,70.63
10/14/2024,3:00:00 PM,90.83,"14,946.56",67.00,71.73
10/14/2024,2:00:00 PM,90.83,"15,258.06",67.14,71.56
10/14/2024,1:00:00 PM,90.98,"15,948.28",65.07,72.15
10/14/2024,12:00:00 PM,83.84,"20,949.58",61.05,64.09
10/14/2024,11:00:00 AM,82.02,"21,516.90",55.45,61.98
10/14/2024,10:00:00 AM,89.61,"21,337.87",53.38,70.27
10/14/2024,9:00:00 AM,81.85,"27,455.98",53.00,61.99
10/14/2024,8:00:00 AM,70.29,"30,772.46",52.33,50.23
10/14/2024,7:00:00 AM,78.59,"23,094.19",51.83,59.12
10/14/2024,6:00:00 AM,90.63,"18,493.76",52.32,72.43
10/14/2024,5:00:00 AM,90.75,"16,338.90",54.00,73.55
10/14/2024,4:00:00 AM,90.81,"14,979.03",54.87,73.24
10/14/2024,3:00:00 AM,90.81,"15,113.65",55.58,73.22
10/14/2024,2:00:00 AM,90.79,"15,428.64",55.01,72.72
10/14/2024,1:00:00 AM,90.80,"14,766.77",57.85,72.72
10/14/2024,12:00:00 AM,90.81,"14,523.19",59.42,72.85
10/13/2024,11:00:00 PM,90.82,"14,974.88",61.04,72.79
10/13/2024,10:00:00 PM,90.80,"15,152.17",62.47,72.83
10/13/2024,9:00:00 PM,90.83,"14,494.45",61.94,72.66
10/13/2024,8:00:00 PM,90.85,"13,433.78",61.36,72.58
10/13/2024,7:00:00 PM,90.84,"13,424.23",64.21,71.98
10/13/2024,6:00:00 PM,90.87,"12,924.95",66.00,71.85
10/13/2024,5:00:00 PM,90.88,"13,303.10",66.00,71.42
10/13/2024,4:00:00 PM,90.86,"13,808.24",65.23,71.98
10/13/2024,3:00:00 PM,90.86,"13,858.92",64.69,72.37
10/13/2024,2:00:00 PM,90.86,"13,718.05",65.88,72.13
10/13/2024,1:00:00 PM,90.83,"14,706.31",64.97,72.71
10/13/2024,12:00:00 PM,90.75,"17,238.95",61.78,72.63
10/13/2024,11:00:00 AM,90.68,"18,216.87",57.86,72.98
10/13/2024,10:00:00 AM,90.69,"18,359.58",52.57,73.48
10/13/2024,9:00:00 AM,90.68,"18,847.09",51.00,72.02
10/13/2024,8:00:00 AM,90.67,"18,965.88",51.00,71.97
10/13/2024,7:00:00 AM,90.64,"18,364.56",51.45,72.13
10/13/2024,6:00:00 AM,90.78,"15,905.99",52.88,71.55
10/13/2024,5:00:00 AM,90.80,"15,291.15",53.99,70.98
10/13/2024,4:00:00 AM,90.78,"15,549.69",54.38,71.18
10/13/2024,3:00:00 AM,90.80,"14,843.13",55.08,71.22
10/13/2024,2:00:00 AM,90.80,"14,949.33",56.23,71.38
10/13/2024,1:00:00 AM,90.81,"14,702.30",56.45,71.60
10/13/2024,12:00:00 AM,90.81,"14,788.50",59.03,71.83
10/12/2024,11:00:00 PM,90.81,"15,139.31",60.61,71.87
10/12/2024,10:00:00 PM,90.80,"14,945.52",62.48,71.65
10/12/2024,9:00:00 PM,90.84,"14,064.51",63.36,71.13
10/12/2024,8:00:00 PM,90.78,"15,440.74",64.28,70.95
10/12/2024,7:00:00 PM,90.80,"14,191.67",65.73,70.38
10/12/2024,6:00:00 PM,90.87,"12,989.39",66.98,70.38
10/12/2024,5:00:00 PM,90.87,"13,277.29",66.97,70.70
10/12/2024,4:00:00 PM,90.85,"14,148.56",65.67,70.74
10/12/2024,3:00:00 PM,90.84,"14,412.66",65.00,70.27
10/12/2024,2:00:00 PM,90.82,"15,311.92",65.00,70.75
10/12/2024,1:00:00 PM,90.79,"15,863.55",63.73,70.78
10/12/2024,12:00:00 PM,90.75,"16,803.56",61.27,71.04
10/12/2024,11:00:00 AM,90.71,"18,636.69",58.88,71.09
10/12/2024,10:00:00 AM,93.96,"18,210.37",53.81,73.81
10/12/2024,9:00:00 AM,89.61,"21,458.72",52.64,70.05
